Attractor #,Attractor Type,Associated Cell Fate,Basin Size,apcarm,arm,armdecad,cdc,dad,der,dlg,dome,fz,hid,jak,mad,mir,nicd,notch,pros,punt,ral,robo,rolled,snail,socse,state,sty,suh,tcflef,egfs,wg,upds,dpp,delta,slit,
1,Cyclic,EE Fate + Upd Production,0.3012,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,
1,Cyclic,EE Fate + Upd Production,0.3012,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,
1,Cyclic,EE Fate + Upd Production,0.3012,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,
1,Cyclic,EE Fate + Upd Production,0.3012,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,
1,Cyclic,EE Fate + Upd Production,0.3012,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,
1,Cyclic,EE Fate + Upd Production,0.3012,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,

2,Cyclic,EE Fate + Upd Production + Apoptosis,0.0964,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
2,Cyclic,EE Fate + Upd Production + Apoptosis,0.0964,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,
2,Cyclic,EE Fate + Upd Production + Apoptosis,0.0964,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,
2,Cyclic,EE Fate + Upd Production + Apoptosis,0.0964,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,

3,Cyclic,EE Fate + Upd Production + Apoptosis,0.0665,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,
3,Cyclic,EE Fate + Upd Production + Apoptosis,0.0665,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,

4,Cyclic,EE Fate + Upd Production + Extrusion,0.0506,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,
4,Cyclic,EE Fate + Upd Production + Extrusion,0.0506,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,

5,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0498,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,
5,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0498,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,
5,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0498,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,
5,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0498,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,

6,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0476,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,
6,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0476,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,
6,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0476,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,
6,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0476,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,
6,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0476,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,
6,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0476,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,

7,Point,EE Fate + Upd Production + Delta Production + Apoptosis,0.0371,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,

8,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0352,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,
8,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0352,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,
8,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0352,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,
8,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0352,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,
8,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0352,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,
8,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0352,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,

