Cell fate,Propensity,
Cell Proliferation + Autophagy Low + Mitophagy(L), 0.532 
Quiescent + Autophagy Low + Mitophagy(L), 0.171 
Autophagy Low + Apoptosis + E.Apoptosis, 0.1699 
Cell Proliferation (H) + Autophagy Low + Mitophagy(L), 0.0966 
Quiescent + Autophagy High + Mitophagy(L), 0.021 
Autophagy High + Mitophagy(H), 0.0091 
Cell Proliferation (H) + Autophagy VeryLow, 0.0004 
