Cell fate,Propensity,
Quiescent + Autophagy Low + Mitophagy(L), 0.4692 
Autophagy Low + Apoptosis + E.Apoptosis, 0.2478 
Autophagy Low + Apoptosis + Mitophagy(L), 0.0747 
Autophagy Low + Apoptosis, 0.0673 
Cell Proliferation (H) + Autophagy Low + Mitophagy(L), 0.0433 
Autophagy High + Mitophagy(H), 0.026 
Quiescent + Autophagy High + Mitophagy(L), 0.0232 
Cell Proliferation + Autophagy Low + Mitophagy(L), 0.0208 
Autophagy High + Mitophagy(L), 0.0181 
Autophagy VeryLow + Apoptosis, 0.0074 
Cell Proliferation (H) + Autophagy VeryLow, 0.002 
Autophagy VeryLow + Apoptosis + E.Apoptosis, 0.0002 
