Cell fate,Propensity,
Quiescent + Autophagy Low + Mitophagy(L), 0.5085 
Cell Proliferation + Autophagy Low + Mitophagy(L), 0.1445 
Cell Proliferation (H) + Autophagy Low + Mitophagy(L), 0.072 
Autophagy Low + Apoptosis + Mitophagy(L), 0.072 
Autophagy Low + Apoptosis + E.Apoptosis, 0.0685 
Autophagy Low + Apoptosis, 0.0654 
Autophagy High + Mitophagy(H), 0.0243 
Quiescent + Autophagy High + Mitophagy(L), 0.0209 
Autophagy High + Mitophagy(L), 0.0209 
Cell Proliferation (H) + Autophagy VeryLow, 0.0018 
Autophagy VeryLow + Apoptosis, 0.0008 
Autophagy VeryLow + Apoptosis + E.Apoptosis, 0.0004 
