Cell fate,Propensity,
Quiescent + Autophagy Low + Mitophagy(L), 0.4764 
Autophagy Low + Apoptosis + E.Apoptosis, 0.252 
Autophagy Low + Apoptosis + Mitophagy(L), 0.0683 
Autophagy Low + Apoptosis, 0.0656 
Cell Proliferation (H) + Autophagy Low + Mitophagy(L), 0.0414 
Autophagy High + Mitophagy(H), 0.0254 
Autophagy High + Mitophagy(L), 0.0228 
Cell Proliferation + Autophagy Low + Mitophagy(L), 0.0205 
Quiescent + Autophagy High + Mitophagy(L), 0.019 
Autophagy VeryLow + Apoptosis, 0.0062 
Cell Proliferation (H) + Autophagy VeryLow, 0.0019 
Autophagy VeryLow + Apoptosis + E.Apoptosis, 0.0005 
