Attractor #,Attractor Type,Associated Cell Fate,Basin Size,ros,erstress,genotoxicity,insulrec,ras,erk12,irs1,akt,ikkalpha,tsc,pten,sk,grb10,hk2,rheb,mtorc1,mtorc2,ulk1,atg13,atgtwelve,beclin1,lcthree,autonutri,eif4,cyclinb,cyclind,cycline,cyclina,cdc25,eif2,rag,amp,ampk,hifone,redd1,bnip3,pkcdelta,jnk1,perk,pkctheta,pka,creb,p53,mdm2,p21,nrf2,atm,chkonetwo,brca1,p16,dram,p73,bclsurvival,bad,bclapoptotic,baxbak,cytochromec,apaf1,smacdiablo,aif,caspase9,caspases367,caspase8,etwof1,rb1,cmyc,smadr,rip13,tradd,parkin,fundc1,autodeath,mmp,rho,vegf,par,oxygen,gfr,glu,aminoacids,radiation,tgfr,tnfr,
11,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0084,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,
12,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0083,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,
13,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.008,1,1,1,1,2,0,1,0,0,1,2,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,
14,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0079,0,1,1,1,0,0,1,0,0,1,2,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,
15,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0079,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,
16,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0079,1,1,1,1,0,0,2,0,0,1,2,2,2,0,2,2,2,1,2,1,0,0,0,2,0,0,0,0,0,2,2,0,1,2,2,2,1,1,2,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,
17,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0079,1,1,1,1,2,0,1,0,0,1,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,
18,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0078,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
19,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0078,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,
20,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0077,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,
21,Point,Autophagy VeryLow + Apoptosis + E.Apoptosis,0.0077,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,
22,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0076,1,1,1,1,0,0,2,0,0,1,2,2,2,0,2,2,2,1,2,1,0,0,0,2,0,0,0,0,0,2,2,0,1,2,2,2,1,1,2,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,
23,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0076,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,
24,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0075,0,1,1,1,0,0,1,0,0,1,2,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,
25,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0075,1,1,1,1,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,
26,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0075,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,
27,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0075,1,1,1,1,2,0,2,0,0,1,2,2,2,0,2,2,2,1,2,1,0,0,0,2,0,0,0,0,0,2,2,2,1,2,1,2,1,1,2,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,
28,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0074,1,1,1,1,2,0,1,0,0,1,2,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,
29,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0073,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,
30,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0073,1,1,1,1,0,0,2,0,0,1,2,2,2,0,2,2,2,1,2,1,0,0,0,2,0,0,0,0,0,2,2,0,1,2,2,2,1,1,2,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,
